
2025/02/10 (15:56:57) | ===> btop++ v.1.4.0
2025/02/10 (15:56:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (16:33:25) | ===> btop++ v.1.4.0
2025/02/10 (16:33:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (08:45:40) | ===> btop++ v.1.4.0
2025/02/11 (08:45:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/11 (08:45:54) | WARNING: Failed to join _runner thread on exit!

2025/02/11 (13:09:52) | ===> btop++ v.1.4.0
2025/02/11 (13:09:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/11 (13:09:58) | WARNING: Failed to join _runner thread on exit!

2025/02/12 (12:34:17) | ===> btop++ v.1.4.0
2025/02/12 (12:34:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (11:35:17) | ===> btop++ v.1.4.0
2025/02/17 (11:35:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (16:37:28) | ===> btop++ v.1.4.0
2025/02/19 (16:37:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (11:31:39) | ===> btop++ v.1.4.0
2025/02/21 (11:31:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/21 (13:12:17) | WARNING: Failed to join _runner thread on exit!

2025/02/24 (08:46:12) | ===> btop++ v.1.4.0
2025/02/24 (08:46:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (10:10:21) | ===> btop++ v.1.4.0
2025/02/24 (10:10:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (15:01:12) | ===> btop++ v.1.4.0
2025/02/25 (15:01:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (16:49:34) | ===> btop++ v.1.4.0
2025/02/27 (16:49:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (07:34:31) | ===> btop++ v.1.4.0
2025/04/07 (07:34:31) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/07 (08:16:36) | WARNING: Failed to join _runner thread on exit!

2025/04/10 (15:19:34) | ===> btop++ v.1.4.0
2025/04/10 (15:19:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/11 (10:39:36) | ===> btop++ v.1.4.0
2025/04/11 (10:39:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/14 (09:21:31) | ===> btop++ v.1.4.0
2025/04/14 (09:21:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (08:20:50) | ===> btop++ v.1.4.0
2025/04/21 (08:20:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (09:49:20) | ===> btop++ v.1.4.0
2025/04/24 (09:49:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/24 (10:14:20) | WARNING: Failed to join _runner thread on exit!
